Team;Month;Year;Count
CC;6;2;50,18
CC;7;2;50,98
CC;8;2;52,98
CC;9;2;52,98
CC;10;2;52,73
CC;11;2;51,73
CC;12;2;51,73
CC;1;2;51,73
CC;2;2;52,73
CC;3;2;51,73
CC;4;3;58,93
CC;5;3;57,23
CC;6;3;57,23
CC;7;3;58,23
CC;8;3;57,84
CC;9;3;58,29
CC;10;3;55,91
CC;11;3;56,91
CC;12;3;54,91
CC;1;3;56,91
CC;2;3;58,03
CC;3;3;59,03
CC;4;4;59,28
CC;5;4;59,28
CC;6;4;61,28
CC;7;4;62,08
CC;8;4;63,08
CC;9;4;64,2
CC;10;4;79,58
CC;11;4;81,78
CC;12;4;81,74
CC;1;4;80,78
CC;2;4;80,56
CC;3;4;82,56
CC;4;5;83,52
CC;5;5;86,52
CD;4;1;792,26
CD;5;1;790,31
CD;6;1;792,33
CD;7;1;800,45
CD;8;1;913,17
CD;9;1;922
CD;10;1;927,95
CD;11;1;930,25
CD;12;1;937,23
CD;1;1;943,72
CD;2;1;952,25
CD;3;1;957,06
CD;4;2;957,15
CD;5;2;952,65
CD;6;2;950,89
CD;7;2;952,21
CD;8;2;953,05
CD;9;2;953,58
CD;10;2;956,89
CD;11;2;953,09
CD;12;2;948,48
CD;1;2;947,56
CD;2;2;937,42
CD;3;2;932,76
CD;4;3;934,27
CD;5;3;938,04
CD;6;3;936,59
CD;7;3;932,31
CD;8;3;940,22
CD;9;3;952,13
CD;10;3;951,91
CD;11;3;953,67
CD;12;3;954,36
CD;1;3;953,89
CD;2;3;952,15
CD;3;3;943,52
CD;4;4;931,62
CD;5;4;927,68
CD;6;4;931,03
CD;7;4;935,76
CD;8;4;940,29
CD;9;4;984
CD;10;4;988,24
CD;11;4;990,45
CD;12;4;990,57
CD;1;4;1002,92
CD;2;4;1008,33
CD;3;4;1008,56
CD;4;5;1013,22
CD;5;5;1021,77
